record_id_1,record_id_2,ground_truth_similar,predicted_similar_before,score_before,error_before,predicted_similar_after,score_after,error_after
001dc63d-041a-43d1-9cc4-ed0298605bb5,04b1cd8f-2ccd-49d8-8dad-bd6ec32b7cec,True,True,1.0,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,0f5976c1-064c-4822-8a1c-5921ab15379c,True,True,0.9,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,18a45e4b-6ce7-43e0-8317-10d6cd0115c7,True,True,0.9,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,536ae931-5e21-4049-b713-4c869169f2de,True,True,0.9,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,5451ee21-d9bc-4ae1-8760-52d3cfc0129b,True,True,1.0,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,5d75791a-aeda-4037-9038-da54684a6dda,True,True,0.9,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,7244cb94-3c3b-469b-8fb5-21440a5fd72f,True,True,1.0,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,d182899e-b0b2-4c34-a9ec-2cad16e77e7d,True,True,1.0,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,d5494910-557e-444d-af4d-19c57a94894b,True,True,1.0,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,d95106fe-0c18-477a-9047-1cfb0c6c223d,True,True,0.9,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,e6b5acb2-5dd3-480c-88c4-72a8d09f9263,True,True,0.9,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,f4c9f70e-5803-47e0-a55b-5d0242a45a00,True,True,1.0,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,fb607cf5-99af-444a-944c-d329c2ed620d,True,True,1.0,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,fd7fa5b2-88d0-44ba-bb29-498b3e4c8e27,True,True,0.9,,True,1.0,
001dc63d-041a-43d1-9cc4-ed0298605bb5,fe56d763-eb2a-49cb-b312-adfdebaf951d,True,True,1.0,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,085d9096-87f9-449b-ae63-77cdb161e593,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,09eb586a-5bd6-43b6-a227-0787560b0639,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,167fb2f9-b3dd-4e90-8833-e11af191eb60,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,3a184826-6189-47b6-ba86-a4af830fe249,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,3bde52b3-6361-4435-9489-de1a808fb578,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,4b90add3-5379-4e18-9991-d15da2e10b7d,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,784a22e4-9104-44d6-906b-560d3f15b18c,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,9529f6a2-e61c-4f5c-ba1b-3d11d96b2023,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,99de6fbe-9540-4757-845d-6cce9998aea0,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,aaceb873-1e7e-476e-ba40-1c2b76fbdca8,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,b33ae923-502f-485c-92a1-c4f31095fd9f,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,ba084957-5a37-43df-890c-096ae8464dfc,True,True,1.0,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,bf502f92-420c-493b-a5a8-2bd4b40ed534,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,c025f1c4-fc92-4e26-8505-f7ad7e50e9a9,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,c40d9c3f-eb93-49bc-b3ab-2ef6d67a132c,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,c427a6c2-6311-45fc-baa4-7b91e54f645d,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,cf7bb12f-e498-4ca0-9219-41c426f804b8,True,True,1.0,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,d7418951-39a6-43b3-b0b5-f5f37b5dd030,True,True,0.9,,True,1.0,
0036a611-f535-4a55-a06d-c2e7574b155a,ed605b4a-4ae2-40a8-bb32-f851b63001cd,True,True,0.9,,True,1.0,
0044c45d-289c-49d3-834a-b30440cb115e,1a2e0775-52d8-4887-a2c1-1d57492b26a8,True,True,1.0,,True,1.0,
0044c45d-289c-49d3-834a-b30440cb115e,1ebc98ec-88bf-40ad-adbc-4d036342db25,True,True,0.9,,True,1.0,
0044c45d-289c-49d3-834a-b30440cb115e,2124a980-3e3c-4ce8-b485-50bb52495b18,True,True,1.0,,True,1.0,
0044c45d-289c-49d3-834a-b30440cb115e,241c38f4-6715-4eb7-87c9-f4ab19c61a80,True,True,0.9,,True,1.0,
